品目,よみ,業種指定,排出区分,指定袋,搬入制限,搬入制限コメント,産業廃棄物,収納袋義務除外申請対象,備考1,備考1リンク,備考1リンク表示文字列,備考2,備考2リンク,備考2リンク表示文字列,更新日
足場用の金属製パイプ・金具,あしばようのきんぞくせいぱいぷ・かなぐ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
医療器具（手足首等の固定器具・温浴機・牽引機等）,いりょうきぐ,,搬入禁止,,,,対象,,医療機関・薬局から排出される廃棄物の捨て方はこちらもご覧ください,http://www.city.kobe.lg.jp/business/regulation/environment/industry/img/iryou-ru-ru.pdf,（参考）医療関係の廃棄物適正処理ルールBOOK,,,,5/23/2017
衣類乾燥機,いるいかんそうき,,搬入禁止,,,,,,「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
エアコン,えあこん,,搬入禁止,,,,,,「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
カーステレオ・スピーカー,かーすてれお・すぴーかー,,搬入禁止,,,,対象,,,,,,,,5/23/2017
カーナビ・カーテレビ,かーなび・かーてれび,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ガス管,がすかん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ガス管の接続部品,がすかんのせつぞくぶひん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ガスボンベ（有毒ガス用）,がすぼんべ・ゆうどくがす,,搬入禁止,,,,,,販売店・製造メーカーにご相談ください,,,,,,5/23/2017
ガスボンベ（可燃性ガス用）,がすぼんべ・かねんせいがす,,搬入禁止,,,,,,販売店・製造メーカーにご相談ください,,,,,,5/23/2017
ガスボンベ（プロパンガス用）,がすぼんべ・ぷろぱんがす,,搬入禁止,,,,,,(一社)兵庫県エルピーガス協会にご相談ください,tel:0783618068,(一社)兵庫県エルピーガス協会（078-361-8068）,,,,5/23/2017
ガスボンベ（フロンガス用）,がすぼんべ・ぷろぱんがす,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ガスボンベ（有毒・可燃性・フロン・プロパンガス以外）,がすぼんべ,,搬入禁止,,,,,,地方高圧ガス容器管理委員会（兵庫県支部）にご相談ください※有毒・可燃性・フロン・プロパンガスは対応できません,tel:0783618035,地方高圧ガス容器管理委員会兵庫県支部（078-361-8035）,,,,5/23/2017
ガスメーター,がすめーたー,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ガソリン,がそりん,,搬入禁止,,,,,,販売店にご相談ください,,,,,,5/23/2017
瓦,かわら,,搬入禁止,,,,対象,,,,,,,,5/23/2017
屋根葺き,やねぶき,,搬入禁止,,,,対象,,,,,,,,5/23/2017
感染性廃棄物（感染症を生ずるおそれのある廃棄物）,かんせんせいはいきぶつ,,搬入禁止,,,,対象,,判断基準等につきましてはこちらをご確認ください。,http://www.city.kobe.lg.jp/business/regulation/environment/industry/img/iryou-ru-ru.pdf#page=6,（参考）医療関係の廃棄物適正処理ルールBOOK,,,,5/23/2017
機械設備のゴム製リング（Ｏリング等）,きかいせつびのごむせいりんぐ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
機械用ゴムベルト（Vベルト等）,きかいようごむべると,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ギブス・コルセット（石こう製・合成樹脂製）,ぎぶす・こるせっと,,搬入禁止,,,,対象,,,,,,,,5/23/2017
業務用衣類乾燥機,ぎょうむよういるいかんそうき,,搬入禁止,,,,対象,,家庭用の機器は、「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
業務用の飲料水貯留容器（生ビール・ジュース等）,ぎょうむよういんりょうすいちょりゅうようき,,搬入禁止,,,,対象,,,,,,,,5/23/2017
業務用ゴムホース（高圧ホース等）,ぎょうむようごむほーす,,搬入禁止,,,,対象,,消防用布製ホースを除く,,,,,,5/23/2017
業務用除湿機,ぎょうむようじょしつき,,搬入禁止,,,,対象,,ドレンパイプ・配管パイプ・カバーなどの工事部材も受入れできません,,,,,,5/23/2017
業務用製氷機,ぎょうむようせいひょうき,,搬入禁止,,,,対象,,,,,,,,5/23/2017
業務用洗濯機,ぎょうむようせんたくき,,搬入禁止,,,,対象,,家庭用の機器は、「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
業務用冷水機,ぎょうむようれいすいき,,搬入禁止,,,,対象,,,,,,,,5/23/2017
業務用冷蔵庫,ぎょうむようれいぞうこ,,搬入禁止,,,,対象,,家庭用の機器は、「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
業務用冷蔵ショーケース,ぎょうむようれいぞうしょーけーす,,搬入禁止,,,,対象,,,,,,,,5/23/2017
業務用冷凍庫,ぎょうむようれいとうこ,,搬入禁止,,,,対象,,家庭用の機器は、「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
業務用冷風機,ぎょうむようれいふうき,,搬入禁止,,,,対象,,ドレンパイプ・配管パイプ・カバーなどの工事部材も受入れできません,,,,,,5/23/2017
漁船用部品・船舶関連の大型金属片,ぎょせんようぶひん・せんぱく・おおがたきんぞくへん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
金庫（手提げ以外）,きんこ,,搬入禁止,,,,対象,,小型手提金庫は粗大(不燃)ごみです,,,,,,5/23/2017
金属加工用機械及び部品（溶接棒等）,きんぞくかこうようきかい・ぶひん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
金属研磨くず・切削くず,きんぞくけんまくず・せっさくくず,,搬入禁止,,,,対象,,,,,,,,5/23/2017
クーラー・エアコン用配管（カバー・断熱材を含む）,くーらー・えあこんようはいかん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
グラスウール,ぐらすうーる,,搬入禁止,,,,対象,,,,,,,,5/23/2017
建築用部品（金属製・合成樹脂製）,けんちくようぶひん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
研磨用機器の部品・研磨材・研磨くず,けんまようきかい・ぶひん・けんまざい・けんまくず,,搬入禁止,,,,対象,,,,,,,,5/23/2017
コインボックス,こいんぼっくす,,搬入禁止,,,,対象,,,,,,,,5/23/2017
コインボックス内蔵型乾燥機,こいんぼっくすないぞうがたかんそうき,,搬入禁止,,,,対象,,,,,,,,5/23/2017
コインボックス内蔵型洗濯機,こいんぼっくすないぞうがたせんたくき,,搬入禁止,,,,対象,,,,,,,,5/23/2017
コインボックス内蔵型脱水機,こいんぼっくすないぞうがただっすいき,,搬入禁止,,,,対象,,,,,,,,5/23/2017
コインボックス内蔵型テレビ,こいんぼっくすないぞうがたてれび,,搬入禁止,,,,対象,,,,,,,,5/23/2017
工事用ライト,こうじようらいと,,搬入禁止,,,,対象,,,,,,,,5/23/2017
合成樹脂製のクロスくず（床面・壁面用）,ごうせいじゅしせいのくろすくず,,搬入禁止,,,,対象,,,,,,,,5/23/2017
合成樹脂製の垂れ幕・長尺シート,ごうせいじゅしせいのたれまく・ちょうじゃくしーと,,搬入禁止,,,,対象,,,,,,,,5/23/2017
合成樹脂製のPタイル・長尺シート,ごうせいじゅしせいのぴーたいる・ちょうじゃくしーと,,搬入禁止,,,,対象,,,,,,,,5/23/2017
合成樹脂製の風呂釜,ごうせいじゅしせいふろがま,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ゴム打ち抜きくず,ごむうちぬきくず,,搬入禁止,,,,対象,,,,,,,,5/23/2017
コンクリート・アスファルトの破砕がら,こんくりーと・あすふぁるとのはさいがら,,搬入禁止,,,,対象,,,,,,,,5/23/2017
コンクリートブロック・煉瓦ブロック,こんくりーとぶろっく・れんがぶろっく,,搬入禁止,,,,対象,,,,,,,,5/23/2017
サーバー,さーばー,,搬入禁止,,,,,,製品によっては、「資源の有効な利用の促進に関する法律」に基づき、メーカー等がリサイクルを行っています。くわしくは(一社)パソコン3R推進協会にご相談ください。,http://www.pc3r.jp/office/index.html,(一社)パソコン3R推進協会,,,,5/23/2017
サイディング,さいでぃんぐ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ドア,どあ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
三角コーン（建設工事に使用されたもの）,さんかくこーん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
自動車部品・単車部品,じどうしゃぶひん・たんしゃぶひん,,搬入禁止,,,,対象,,少量のワイパーゴム、アクセサリー類は受入れできます,,○プラスチック・ゴムなど→可燃ごみ○金属など→粗大(不燃)ごみ,,,,5/23/2017
水中ポンプ,すいちゅうぽんぷ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
水道管（鉛管・塩ビ管）・バルブ,すいどうかん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
水道工事に伴う部品（水道栓・パッキング等）,すいどうこうじにともなうぶひん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
スプリングマットレス,すぷりんぐまっとれす,,搬入禁止,,,,対象,,,,,,,,5/23/2017
スポンジ打ち抜きくず,すぽんじうちぬきくず,,搬入禁止,,,,対象,,,,,,,,5/23/2017
石膏ボード,せっこうぼーど,,搬入禁止,,,,対象,,,,,,,,5/23/2017
洗濯機,せんたくき,,搬入禁止,,,,,,「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
船舶係留時の衝撃緩和用のタイヤ類・同等品,せんぱくけいりゅうじのしょうげきかんわようのたいやるい,,搬入禁止,,,,,,タイヤ販売店へご相談ください,,,,,,5/23/2017
タイヤ,たいや,,搬入禁止,,,,,,タイヤ販売店へご相談ください,,,遊具使用の場合も含まれます,,,5/23/2017
タイヤホイール,たいやほいーる,,搬入禁止,,,,対象,,,,,,,,5/23/2017
タイル・タイル壁,たいる・たいるかべ,,搬入禁止,,,,対象,,製品見本は受入れできます,,○プラスチック・樹脂製など→可燃ごみ○陶磁器など→粗大(不燃)ごみ,,,,5/23/2017
畳くず（建設系廃材と一緒に搬入した場合）,たたみくず,,搬入禁止,,,,対象,,新建材の畳も含まれます,,,,,,5/23/2017
注射針,ちゅうしゃばり,,搬入禁止,,,,対象,,使用の有無を問わず、全てのものが対象です,,,医療機関・薬局から排出される廃棄物の捨て方はこちらもご覧ください,http://www.city.kobe.lg.jp/business/regulation/environment/industry/img/iryou-ru-ru.pdf,（参考）医療関係の廃棄物適正処理ルールBOOK,5/23/2017
鉄筋・鉄骨,てっきん・てっこつ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
テレビ,てれび,,搬入禁止,,,,,,「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
電気配線器具,でんきはいせんきぐ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
電気メーター,でんきめーたー,,搬入禁止,,,,対象,,,,,,,,5/23/2017
天井・壁埋込み型エアコン,てんじょう・かべうめこみがたえあこん,,搬入禁止,,,,対象,,ドレンパイプ・配管パイプ・カバーなどの工事部材も含まれます,,,,,,5/23/2017
電動モーター,でんどうもーたー,,搬入禁止,,,,対象,,,,,,,,5/23/2017
陶磁器製の洗面台・トイレ・流し,とうじきせいせんめんだい・といれ・ながし,,搬入禁止,,,,対象,,,,,,,,5/23/2017
土嚢・土嚢袋・土砂,どのう・どのうぶくろ・どしゃ,,搬入禁止,,,,,,土嚢袋（中身が入っていないもの）は可燃ごみです,,,,,,5/23/2017
農業用機械・部品類,のうぎょうようきかい・ぶひん,,搬入禁止,,,,,,,,,,,,5/23/2017
農業用ビニールハウス,のうぎょうようびにーるはうす,,搬入禁止,,,,対象,,,,,,,,5/23/2017
配線くず,はいせんくず,,搬入禁止,,,,対象,,,,,,,,5/23/2017
歯型（石こう製・合成樹脂製）,はがた,,搬入禁止,,,,対象,,,,,,,,5/23/2017
爆発性・有害性を有する恐れのあるもの,ばくはつせい・ゆうがいせい,,搬入禁止,,,,対象,,,,,,,,5/23/2017
パソコン,ぱそこん,,搬入禁止,,,,,,「資源の有効な利用の促進に関する法律」に基づき、メーカー等がリサイクルを行っています。くわしくは(一社)パソコン3R推進協会にご相談ください。,http://www.pc3r.jp/office/index.html,(一社)パソコン3R推進協会,,,,5/23/2017
PC用ディスプレイ,ぱそこんようでぃすぷれい,,搬入禁止,,,,,,「資源の有効な利用の促進に関する法律」に基づき、メーカー等がリサイクルを行っています。くわしくは(一社)パソコン3R推進協会にご相談ください。,http://www.pc3r.jp/office/index.html,(一社)パソコン3R推進協会,テレビチューナーが付いたディスプレイは「テレビ」として扱います。 → 「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,5/23/2017
パチンコ台・パチンコの玉,ぱちんこだい・ぱちんこのたま,,搬入禁止,,,,対象,,,,,,,,5/23/2017
パッケージ型エアコン,ぱっけーじがたえあこん,,搬入禁止,,,,対象,,ドレンパイプ・配管パイプ・カバーなどの工事部材も含まれます,,,,,,5/23/2017
バッテリー（自動車・単車・自転車用）,ばってりー,,搬入禁止,,,,,,販売店が引取・リサイクルを行なっています,,,,,,5/23/2017
ピアノ（電子式を除く）,ぴあの,,搬入禁止,,,,,,販売店または神戸市環境共栄事業協同組合（共栄会）にご相談ください,tel:0783313470,神戸市環境共栄事業協同組合（078-331-3470）,,,,5/23/2017
ヒートポンプユニット,ひーとぽんぷゆにっと,,搬入禁止,,,,対象,,ドレンパイプ・配管パイプ・カバーなどの工事部材も含まれます,,,,,,5/23/2017
ヒューム管,ひゅーむかん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
フロンガスを使用する機械・設備全般,ふろんがす・きかい・せつび,,搬入禁止,,,,対象,,ドレンパイプ・配管パイプ・カバーなどの工事部材も含まれます,,,,,,5/23/2017
ベニア・壁板,べにあ・かべいた,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ボイラー関係の部品・圧力計,ぼいらー・ぶひん・あつりょくけい,,搬入禁止,,,,対象,,,,,,,,5/23/2017
防護又は防音シート（ゴム製・合成樹脂製）,ぼうごしーと・ぼうおんしーと,,搬入禁止,,,,対象,,,,,,,,5/23/2017
防水又は遮水シート（ゴム製・合成樹脂製）,ぼうすいしーと・しゃすいしーと,,搬入禁止,,,,対象,,,,,,,,5/23/2017
ホテル用課金システム冷蔵庫,ほてるようかきんしすてむれいぞうこ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
消火器,しょうかき,,搬入禁止,,,,,,消火器はメーカー・販売店などが引取りを行っています,http://www.city.kobe.lg.jp/safety/fire/information/syoukaki5.html,消火器の処分方法（神戸市消防局のページ）,,,,5/23/2017
窓枠（アルミサッシ等）,まどわく,,搬入禁止,,,,対象,,,,,,,,5/23/2017
マネキン,まねきん,,搬入禁止,,,,対象,,モデルウィッグは可燃ごみです,,,,,,5/23/2017
遊具,ゆうぐ,,搬入禁止,,,,対象,,サッカー・ハンドボール用ゴール、整地用金属ローラー、金属製ポール（バレーボール・陸上競技・テニス・バスケットボール、体操用等）も含まれます,,,,,,5/23/2017
誘導用電飾（建設工事に使用されたもの）,ゆうどうようでんしょく,,搬入禁止,,,,対象,,,,,,,,5/23/2017
誘導用ポール（建設工事に使用されたもの）,ゆうどうようぽーる,,搬入禁止,,,,対象,,,,,,,,5/23/2017
冷蔵庫（ワイン庫を含む）,れいぞうこ,,搬入禁止,,,,,,「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
冷凍庫,れいとうこ,,搬入禁止,,,,,,「家電リサイクル法」に基づき、メーカーが等がリサイクルを行っています。,http://www.city.kobe.lg.jp/life/recycle/waketon/shiraberu/index_04.html,市では収集しないもの（家電リサイクル法にかかるもの）※家庭ごみの案内ページですが、事業系ごみも同様の扱いとなります,,,,5/23/2017
ワイヤーロープ,わいやーろーぷ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
トタン,とたん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
アルミ付紙容器,あるみつきかみようき,,搬入禁止,,,,対象,,,,,,,,5/23/2017
AED,えーいーでぃー,,搬入禁止,,,,,,販売店が引取・リサイクルを行なっています,,,,,,5/23/2017
プラスチックボトル（医薬品が入っていたもの）,ぷらすちっくぼとる,,搬入禁止,,,,対象,,手洗い消毒液が入っていた容器は可燃ごみとして排出できます,,,,,,5/23/2017
オートバイ・原動機付自転車,おーとばい・げんどうきつきじてんしゃ,,搬入禁止,,,,,,販売店または二輪車リサイクルコールセンターにご相談ください,tel:05030000727,二輪車リサイクルコールセンター（050-3000-0727）,,,,5/23/2017
自動車,じどうしゃ,,搬入禁止,,,,,,販売店など、自動車リサイクル法引取業者にご相談ください,http://www2.jars.gr.jp/j/JGKS0010.html,自動車リサイクル法関連事業者一覧（自動車リサイクルシステム）,,,,5/23/2017
農薬,のうやく,,搬入禁止,,,,対象,,,,,,,,5/23/2017
小型充電式電池（ニカド・ニッケル水素・リチウムイオン電池など）,こがたじゅうでんしきでんち（にかど・にっけるすいそ・りちうむいおん）,,搬入禁止,,,,,,(一社)JBRC（03-6403-5673）にご相談ください,http://www.jbrc.com/,(一社)JBRCホームページ,,,,5/23/2017
シンナー類,しんなーるい,,搬入禁止,,,,対象,,,,,,,,5/23/2017
灯油,とうゆ,,搬入禁止,,,,,,販売店にご相談ください,,,,,,5/23/2017
ボタン電池,ぼたんでんち,,搬入禁止,,,,,,販売店の回収缶に入れてください,http://www.botankaishu.jp/m/top.php,ボタン電池回収サイト（一般社団法人電池工業会）※回収缶設置店舗が検索できます,,,,5/23/2017
ワインセラー,わいんせらー,,搬入禁止,,,,対象,,,,,,,,5/23/2017
レントゲンフィルム,れんとげんふぃるむ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
点滴ボトル,てんてきぼとる,,搬入禁止,,,,対象,,,,,,,,5/23/2017
点滴チューブ,てんてきちゅーぶ,,搬入禁止,,,,対象,,,,,,,,5/23/2017
空き缶（塗料・ワックスが入っていたもの）,あきかん,,搬入禁止,,,,対象,,スプレー缶を除く全ての缶が対象です,,ただし、排出者が自らの施設管理用に自ら使用した場合は粗大(不燃)ごみとして排出できます,,,,5/23/2017
空き缶（飲食料品・調味料が入っていたもの）※ペール缶・一斗缶等大きい缶,あきかん,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
空き缶（飲食料品・調味料が入っていたもの）※小型の缶,あきかん,,資源,対象,,,,,中身は使い切り、軽く水洗いしてください,,,,,,5/23/2017
空き缶（灯油が入っていたもの）,あきかん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
空き缶（単車用の鉱油が入っていたもの）,あきかん,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
空き缶（固形燃料が入っていたもの）※ペール缶・一斗缶等大きい缶,あきかん,,粗大(不燃),対象,対象,,,,,,,,,,5/23/2017
空き缶（固形燃料が入っていたもの）※小型の缶,あきかん,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
空き缶（薬品・洗剤・農薬等が入っていたもの）,あきかん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
空き缶（自動車の不凍液やブレーキ液・オイル等が入っていたもの）,あきかん,,搬入禁止,,,,対象,,,,,,,,5/23/2017
空き缶（筆記具・雑貨・灰皿等）,あきかん,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
スプレー缶（塗料が入っていたもの）,すぷれーかん,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,中身を使い切り火の気のない風通しの良い所で穴を開けてください,,,危険物・可燃物が入っており、穴を開けることに危険を伴う場合は「産業廃棄物」として処理してください,,産業廃棄物に関することは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,5/23/2017
スプレー缶（整髪料が入っていたもの）,すぷれーかん,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,中身を使い切り火の気のない風通しの良い所で穴を開けてください,,,危険物・可燃物が入っており、穴を開けることに危険を伴う場合は「産業廃棄物」として処理してください,,産業廃棄物に関することは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,5/23/2017
スプレー缶（殺虫剤が入っていたもの）,すぷれーかん,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,中身を使い切り火の気のない風通しの良い所で穴を開けてください,,,危険物・可燃物が入っており、穴を開けることに危険を伴う場合は「産業廃棄物」として処理してください,,産業廃棄物に関することは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,5/23/2017
空きびん（飲食料品・調味料が入っていたもの）,あきびん,,資源,対象,,,,,中身は使い切り、軽く水洗いしてください,,,以下のものは取り扱いが異なります,,○割れたびん・キャップ（金属製）→粗大(不燃)ごみ○リターナブルびん（ビールびんなど）→販売店に返却,5/23/2017
空きびん（化粧品が入っていたもの）,あきびん,,粗大(不燃),対象,対象,排出できるのは、排出元一箇所につき、70Lの袋で1袋分までです,,,,,,,,,5/23/2017
空きびん（医薬品が入っていたもの）,あきびん,,搬入禁止,,,,対象,,調剤薬局から排出した場合もこれに含まれます,,,,,,5/23/2017
燃え殻,もえがら,,,,,,対象,,産業廃棄物焼却炉の残灰、炉清掃排出物、石炭がら、その他の焼却残渣がこれに当たります。,,,,,,5/23/2017
汚泥,おでい,,,,,,対象,,工場排水などの処理後に残る泥状のもの、各種製造業の製造工程で出る泥状のもの、活性汚泥法に よる余剰汚泥、ビルピット汚泥(し尿を含むものを除く)、パルプ廃液汚泥、動植物性原料使用工程の排水処理汚泥、生コン残渣、炭酸カルシウムかす、排水溝清掃汚泥などがこれに当たります。,,※油分をおおむね5%以上含むものは廃油との混合物になります。,,,,5/23/2017
廃油,はいゆ,,,,,,対象,,鉱物性油、動植物性油脂、潤滑油、絶縁油、洗浄用油、切削油、溶剤、タールピッチなどがこれに当たります。,,,少量（70Lの指定袋で1袋分まで）かつ、凝固剤で固めた食用油に限り、可燃ごみで処分できます。,,,5/23/2017
廃酸,はいさん,,,,,,対象,,廃硫酸、廃塩酸、各種の有機廃酸類、写真定着廃液など、すべての酸性廃液がこれに当たります。,,,,,,5/23/2017
廃アルカリ,はいあるかり,,,,,,対象,,廃ソーダ液、金属せっけん液、写真現像廃液など、すべてのアルカリ性廃液がこれに当たります。,,,,,,5/23/2017
廃プラスチック,はいぷらすちっく,,,,,,対象,,合成樹脂くず、合成繊維くず、合成ゴムくず、廃タイヤ、廃ペットボトルなど、固形状及び液状の全ての合成高分子系化合物がこれに当たります。,,,,,,5/23/2017
ゴムくず,ごむくず,,,,,,対象,,天然ゴムくずがこれに当たります。,,,,,,5/23/2017
金属くず,きんぞくくず,,,,,,対象,,鉄鋼又は非鉄金属の研磨くず、切削くず、空き缶などがこれに当たります。,,,,,,5/23/2017
ガラスくず、コンクリートくず、陶磁器くず,がらすくず・こんくりーとくず・とうじきくず,,,,,,対象,,ガラスくず、コンクリートくず(「がれき類」に該当するものを除く)、耐火レンガくず、陶磁器くず、空きビン、石膏ボードなどがこれに当たります。,,,,,,5/23/2017
鉱さい,こうさい,,,,,,対象,,高炉、転炉、電気炉などの残さい、キューポラのノロ、ボタ、鋳物砂、不良鉱石、不良石炭、粉炭かす、サンドブラスト廃砂などがこれに当たります。,,,,,,5/23/2017
がれき類,がれきるい,,,,,,対象,,工作物の新築、改築又は除去に伴って生じたコンクリートの破片、レンガの破片、その他これに類する不要物などがこれに当たります。,,,,,,5/23/2017
ばいじん,ばいじん,,,,,,対象,,大気汚染防止法に規定するばい煙発生施設、ダイオキシン類対策特別措置法に基づく特定施設又は 産業廃棄物の焼却施設において発生するばいじんであって、集じん施設によって集められたもの(乾式、湿式は問わず。)がこれに当たります。,,,,,,5/23/2017
紙くず,かみくず,製本業、パルプ・紙・紙加工品製造業、新聞業、出版業,搬入禁止,,,,対象,,,,,,,,5/23/2017
紙くず,かみくず,建設業,搬入禁止,,,,対象,,建設工事に係る紙くず（新築、改築、増築、除去等に伴うもの）のみが産業廃棄物となり、事務所などから出る紙くずは可燃ごみとなります,,,,,,5/23/2017
紙くず,かみくず,その他の業種,可燃,対象,,,,,紙くずの中には、資源化できるものや、計画的に消費すれば減らすことができるものが多く含まれています。,http://www.city.kobe.lg.jp/business/regulation/environment/enterprise/bug02.html,こちらのページで減量・リサイクルについてご案内しています。,PCBが塗布され、又は染み込んだものは産業廃棄物として処分してください,tel:0783817464,詳しくは、現在契約中の一般廃棄物収集運搬許可業者または、兵庫県産業廃棄物協会（078-381-7464）にお問い合わせください,5/23/2017
紙くず（PCBが塗布され、又は染み込んだもの）,かみくず,,搬入禁止,,,,対象,,,,,,,,5/23/2017
木くず,きくず,木材・木製品製造業、パルプ製造業、輸入木材卸売業、物品賃貸業,搬入禁止,,,,対象,,剪定枝・伐採木・流木は可燃ごみです,,,,,,5/23/2017
木くず,きくず,建設業,搬入禁止,,,,対象,,新築、改築、増築、除去等に伴う木くずがこれに当たります,,,剪定枝・伐採木・流木は可燃ごみです,,,5/23/2017
木くず,きくず,その他の業種,可燃,対象,,,,,木くずは資源化することができます,http://www.city.kobe.lg.jp/business/regulation/environment/enterprise/bug02.html#midashi84933,こちらのページでリサイクルについてご案内しています,,,,5/23/2017
木くず（PCBが染み込んだもの）,きくず,,搬入禁止,,,,対象,,,,,,,,5/23/2017
パレット（貨物流通のために使用したもの）,ぱれっと,,搬入禁止,,,,対象,,,,,,,,5/23/2017
剪定枝・伐採木（太さ5cm、長さ50cm以下のもの）,せんていえだ・ばっさいぼく,造園工事業,搬入禁止,,,,対象,,造園工事業（庭園、公園、緑地等の苑地を築造する工事を行う事業）により生じたものがこれに当たります。一方、造園業（主として請負で築庭、庭園樹の植樹、庭園・花壇の手入れなどを行う事業）により生じたものは可燃ごみとなります。,,,,,,5/23/2017
