№,区,緊急避難場所の利用,避難所の利用,名称,住所,電話番号,緯度,経度,郵便番号,土砂災害,洪水,津波,備考
0195,長田,○,○,長田高校,神戸市長田区池田谷町2-5,078-621-4101,34.6702422,135.1435322,653-0821,,,,
0196,長田,○,○,蓮池小学校,神戸市長田区大谷町1-1-10,078-691-4215,34.6624350,135.1432128,653-0838,,,,
0197,長田,○,○,神戸常盤大学,神戸市長田区大谷町2-6-2,078-611-1821,34.6654958,135.1411825,653-0838,△,,,《土砂災害時》避難経路の通行に注意が必要。
0198,長田,○,○,長田小学校,神戸市長田区西山町2-4-1,078-631-2731,34.6725142,135.1428822,653-0862,,,,
0199,長田,○,○,高取台中学校,神戸市長田区高取山町1-1-1,078-611-6325,34.6713811,135.1372353,653-0856,△,,,《土砂災害時》避難経路の通行に注意が必要。
0200,長田,○,○,育英高校,神戸市長田区長尾町2-1-15,078-611-6001,34.6684842,135.1348078,653-0855,×,,,《土砂災害時》土砂災害警戒区域外の緊急避難場所へ避難すること
0201,長田,○,○,五位の池小学校,神戸市長田区五位ノ池町2-3-1,078-631-2741,34.6660659,135.1363515,653-0851,,,,
0202,長田,○,○,御蔵小学校,神戸市長田区一番町4-1,078-575-2226,34.6679653,135.1551811,653-0013,,,,
0203,長田,○,○,真野小学校,神戸市長田区苅藻通3-4-32,078-671-0190,34.6570313,135.1540769,653-0083,,,,
0204,長田,○,○,長田中学校,神戸市長田区真野町8-1,078-671-3757,34.6614128,135.1531092,653-0025,,,,
0205,長田,○,○,長田南小学校,神戸市長田区神楽町1-3-1,078-691-1702,34.6618374,135.1498543,653-0836,,,,
0206,長田,○,○,駒ヶ林中学校,神戸市長田区若松町7-1-23,078-611-0082,34.6551358,135.1434603,653-0038,,,,
0207,長田,○,○,真陽小学校,神戸市長田区二葉町1-5-5,078-611-0456,34.6555025,135.1512872,653-0042,,△,,《洪水時》避難経路の通行に注意が必要
0208,長田,○,○,地域人材支援センター,神戸市長田区二葉町7-1-18,078-646-8128,34.6517707,135.1462610,653-0042,,,,
0209,長田,○,○,駒ケ林小学校,神戸市長田区野田町6-1-16,078-731-7061,34.6500314,135.1414645,653-0052,,,,
0210,須磨,○,○,若宮小学校,神戸市須磨区若宮町2-1-21,078-731-0007,34.6463436,135.1314996,654-0049,,,,
0211,須磨,○,○,鷹取中学校,神戸市須磨区青葉町3-1-1,078-731-0066,34.6479475,135.1326031,654-0038,,×,,《水害時》南須磨公民館へ避難すること
0212,須磨,○,○,南須磨公民館,神戸市須磨区青葉町2-2-3,078-735-2770,34.6488167,135.1333241,654-0038,,,,
0213,須磨,○,○,西須磨小学校,神戸市須磨区行幸町3-4-18,078-731-0295,34.6466586,135.1204206,654-0052,,,,
0214,須磨,○,○,須磨一の谷プラザ,神戸市須磨区一ノ谷町5-2-1,078-731-8353,34.6411794,135.1060922,654-0076,△,,,《土砂災害時》土砂災害警戒区域外（西須磨小学校）へ避難すること。ただし、警戒区域外への避難が困難な方や余裕のない場合は利用可
0215,須磨,○,○,北須磨小学校,神戸市須磨区離宮西町2-1-1,078-731-8149,34.6526467,135.1152711,654-0067,,,,
0216,須磨,○,○,だいち小学校,神戸市須磨区大池町5-1-52,078-739-1502,34.6542553,135.1342833,654-0026,,,,
0217,須磨,○,○,太田中学校,神戸市須磨区大黒町5-1-1,078-732-0854,34.6576629,135.1329026,654-0022,,,,
0218,須磨,○,○,東須磨小学校,神戸市須磨区堀池町1‐2-1,078-731-0448,34.6548050,135.1276478,654-0032,,,,
0219,須磨,○,○,須磨体育館,神戸市須磨区中島町1-2-2,078-734-5588,34.6507528,135.1289669,654-0035,,,,
0220,須磨,○,○,飛松中学校,神戸市須磨区大手町8-4-25,078-731-9494,34.6582739,135.1257339,654-0013,,,,
0221,須磨,○,○,高倉台小学校,神戸市須磨区高倉台4-1-1,078-734-1766,34.6562628,135.1041192,654-0074,,,,
0222,須磨,○,○,高倉中学校,神戸市須磨区高倉台1-8-1,078-733-1140,34.6536575,135.1074356,654-0074,,,,
0223,須磨,○,○,板宿小学校,神戸市須磨区菊池町1-1-1,078-732-4055,34.6630653,135.1331303,654-0008,,,,
0224,須磨,○,○,多井畑小学校,神戸市須磨区友が丘3-106,078-792-0450,34.6688778,135.0943419,654-0142,△,,,《土砂災害時》西門が土砂災害警戒区域内にあるので注意、正門を利用すること
0225,須磨,○,○,友が丘中学校,神戸市須磨区友が丘7-283-1,078-792-5567,34.6731275,135.0994969,654-0142,,,,
0226,須磨,○,○,多井畑自治会館,神戸市須磨区多井畑字東所22,078-741-5020,34.6608772,135.0931745,654-0133,,,,
0227,須磨,○,○,横尾小学校,神戸市須磨区横尾5-3,078-743-4511,34.6704253,135.1115681,654-0131,,,,
0228,須磨,○,○,横尾中学校,神戸市須磨区横尾2-1-2,078-743-7322,34.6728241,135.1157451,654-0131,△,,,《土砂災害時》通用門が土砂災害警戒区域内にあるので注意、正門を利用すること
0229,須磨,○,○,妙法寺小学校,神戸市須磨区妙法寺字桜界地106-1,078-741-2559,34.6760865,135.1172147,654-0121,△,,,《土砂災害時》西門が土砂災害警戒区域内にあるので注意、南校舎側の門を利用すること
0230,須磨,○,○,神戸星城高校,神戸市須磨区緑ヶ丘1-12-1,078-741-1860,34.6820128,135.1162619,654-0113,,,,
0231,須磨,○,○,南落合小学校,神戸市須磨区南落合3-11-1,078-792-5244,34.6763078,135.1014661,654-0153,,,,
0232,須磨,○,○,竜が台小学校,神戸市須磨区竜が台6-15-1,078-793-1833,34.6745411,135.0911614,654-0141,,,,
0233,須磨,○,○,竜が台中学校,神戸市須磨区竜が台4-1,078-791-0762,34.6755908,135.0882228,654-0141,,,,
0234,須磨,○,○,菅の台小学校,神戸市須磨区菅の台4-3-2,078-791-0233,34.6721939,135.0836983,654-0143,△,,,《土砂災害時》西門が土砂災害警戒区域付近にあるので注意、正門を利用すること
0235,須磨,○,○,花谷小学校,神戸市須磨区東落合1-4-1,078-791-8272,34.6800732,135.1012968,654-0152,,,,
0236,須磨,○,○,東落合中学校,神戸市須磨区東落合2-15-1,078-792-5558,34.6823986,135.0994494,654-0152,,,,
0237,須磨,○,○,西落合小学校,神戸市須磨区西落合7-1-3,078-792-5556,34.6819375,135.0892339,654-0155,,,,
0238,須磨,○,○,北須磨文化センター,神戸市須磨区中落合3-1-2,078-791-0840,34.6839355,135.0954409,654-0154,,,,
0239,須磨,○,○,西落合中学校,神戸市須磨区西落合4-1-1,078-791-8444,34.6851425,135.0824564,654-0155,,,,
0240,須磨,○,○,須磨翔風高校,神戸市須磨区西落合1-1-5,078-798-4155,34.6779933,135.0887922,654-0155,,,,
0241,須磨,○,○,若草小学校,神戸市須磨区若草町1-13,078-743-7311,34.6876362,135.1148719,654-0122,,,,
0242,須磨,○,○,須磨北中学校,神戸市須磨区東白川台5-1-1,078-741-6465,34.6920283,135.1102097,654-0103,,,,
0243,須磨,○,○,東落合小学校,神戸市須磨区東落合2-18-1,078-793-1844,34.6852289,135.1009689,654-0152,,,,
0244,須磨,○,○,松尾小学校,神戸市須磨区北落合2-13-1,078-791-8422,34.6866175,135.0917225,654-0151,△,,,《土砂災害時》正門が土砂災害警戒区域内にあるので注意、東門を利用すること
0245,須磨,○,○,神の谷小学校,神戸市須磨区神の谷5-1-1,078-791-8277,34.6885015,135.0854611,654-0162,,,,
0246,須磨,○,○,白川小学校,神戸市須磨区白川台7-3-2,078-792-2619,34.6960794,135.1006022,654-0103,,,,
0247,須磨,○,○,白川台中学校,神戸市須磨区白川台1-25-2,078-792-5711,34.6927503,135.0964414,654-0103,,,,
0248,垂水,○,○,塩屋小学校,神戸市垂水区塩屋町3-18-1,078-751-4400,34.6379922,135.0813161,655-0872,,,,
0249,垂水,○,○,塩屋中学校,神戸市垂水区塩屋町字大谷,078-753-2271,34.6439331,135.0771217,655-0872,,,,
0250,垂水,○,○,塩屋北小学校,神戸市垂水区塩屋北町4-10-1,078-752-7575,34.6470275,135.0906539,655-0863,,,,
0251,垂水,○,○,塩屋台自治会館,神戸市垂水区塩屋台1-21,-,34.6418375,135.0835281,655-0864,,,,
0252,垂水,○,○,下畑台小学校,神戸市垂水区桃山台3-20,078-752-6780,34.6560514,135.0830569,655-0854,,,,
0253,垂水,○,○,桃山台中学校,神戸市垂水区桃山台4-8,078-752-1201,34.6579178,135.0797656,655-0854,,,,
0254,垂水,○,○,下畑公会堂,神戸市垂水区下畑町字谷川2120,-,34.6443975,135.0818079,655-0861,,,,
0255,垂水,○,○,つつじが丘小学校,神戸市垂水区つつじが丘3-1385-79,078-709-7751,34.6574376,135.0786778,655-0853,,,,
0256,垂水,○,○,福田小学校,神戸市垂水区乙木3-3-1,078-753-3515,34.6411637,135.0665735,655-0882,,,,
0257,垂水,○,○,東垂水小学校,神戸市垂水区王居殿2-5-25,078-751-2623,34.6348258,135.0711864,655-0883,,,,
0258,垂水,○,,視覚特別支援学校,神戸市垂水区城が山4-2-1,078-751-3291,34.6331960,135.0692837,655-0884,,,,
0259,垂水,○,○,乙木小学校,神戸市垂水区美山台2-1-1,078-752-4205,34.6403306,135.0709614,655-0874,,,,
0260,垂水,○,○,垂水東中学校,神戸市垂水区青山台3-4-1,078-751-6139,34.6409722,135.0721917,655-0873,,,,
0261,垂水,○,○,東垂水公民館,神戸市垂水区東垂水1-1-1,078-753-5025,34.6368394,135.0684339,655-0861,,,,
0262,垂水,○,○,名谷小学校,神戸市垂水区名谷町1896,078-707-2481,34.6633169,135.0709858,655-0852,,,,
0263,垂水,○,○,福田中学校,神戸市垂水区名谷町字猿倉254,078-708-1670,34.6515827,135.0605674,655-0852,△,,,《土砂災害時》武道場・体育館は使用できません
0264,垂水,○,○,高丸小学校,神戸市垂水区大町2-6-9,078-707-8877,34.6381384,135.0613262,655-0014,,,,
0265,垂水,○,○,千鳥が丘小学校,神戸市垂水区千鳥が丘3-10-37,078-709-1655,34.6433439,135.0581761,655-0011,,,,
0266,垂水,○,○,垂水小学校,神戸市垂水区日向2-4-6,078-707-6006,34.6315758,135.0558767,655-0883,,,,
0267,垂水,○,○,垂水年金会館,神戸市垂水区平磯1-2-5,078-752-4181,34.6280792,135.0590125,655-0882,,,,
0268,垂水,○,○,垂水体育館,神戸市垂水区旭ヶ丘2-1-22,078-709-6262,34.6329709,135.0513052,655-0883,,,,
0269,垂水,○,○,霞ヶ丘小学校,神戸市垂水区霞ヶ丘4-6-16,078-706-0156,34.6333700,135.0427583,655-0039,,,,
0270,垂水,○,○,歌敷山中学校,神戸市垂水区歌敷山2-4-1,078-707-8864,34.6363944,135.0412611,655-0037,,,,
0271,垂水,○,○,東舞子小学校,神戸市垂水区舞子台4-10-1,078-782-2712,34.6393497,135.0364975,655-0046,,,,
0272,垂水,○,○,舞子小学校,神戸市垂水区西舞子4-7-43,078-782-2332,34.6437937,135.0303701,655-0048,,,,
0273,垂水,○,○,西舞子小学校,神戸市垂水区狩口台3-1-2,078-781-0004,34.6497317,135.0307367,655-0049,,,,
0274,垂水,○,○,舞子中学校,神戸市垂水区狩口台3-1-1,078-781-0001,34.6496650,135.0298064,655-0049,△,,,《土砂災害時》格技室・体育館は使用できません
0275,垂水,○,○,神陵台小学校,神戸市垂水区神陵台3-1-1,078-781-3843,34.6598917,135.0340639,655-0041,,,,
0276,垂水,○,○,神陵台中学校,神戸市垂水区神陵台3-1-2,078-781-0700,34.6601417,135.0332281,655-0041,,,,
0277,垂水,○,○,多聞台小学校,神戸市垂水区多聞台3-9-29,078-782-0375,34.6621528,135.0404050,655-0001,,,,
0278,垂水,○,○,西脇小学校,神戸市垂水区西脇1-8-6,078-781-9531,34.6560033,135.0387581,655-0042,,,,
0279,垂水,○,○,千代が丘小学校,神戸市垂水区上高丸1-4-2,078-708-8801,34.6410918,135.0517939,655-0017,,,,
0280,垂水,○,○,垂水中学校,神戸市垂水区上高丸1-4-1,078-707-6363,34.6408164,135.0516019,655-0017,,,,
0281,垂水,○,○,本多聞小学校,神戸市垂水区本多聞4-4-1,078-784-4477,34.6580783,135.0480711,655-0006,,,,
0282,垂水,○,○,本多聞中学校,神戸市垂水区本多聞2-16-1,078-784-6310,34.6565978,135.0460825,655-0006,,,,
0283,垂水,○,○,多聞南小学校,神戸市垂水区本多聞5-2-1,078-783-5877,34.6528678,135.0466269,655-0006,,,,
0284,垂水,○,○,小束山小学校,神戸市垂水区小束山7-868-362,078-784-2656,34.6664886,135.0612669,655-0002,,,,
0285,垂水,○,○,星陵台中学校,神戸市垂水区星陵台4-3-3,078-709-8810,34.6465297,135.0478936,655-0038,,,,
0286,垂水,○,○,星陵高校,神戸市垂水区星陵台4-3-2,078-707-6565,34.6449103,135.0495769,655-0038,,,,
0287,垂水,○,○,神戸商業高校,神戸市垂水区星陵台4-3-1,078-707-6464,34.6438522,135.0477467,655-0038,,,,
0288,垂水,○,○,多聞東小学校,神戸市垂水区学が丘4-1-1,078-783-5868,34.6586283,135.0552622,655-0004,,,,
0289,垂水,○,○,多聞東中学校,神戸市垂水区学が丘3-1-1,078-783-5888,34.6546706,135.0542236,655-0004,△,,,《土砂災害時》体育館は使用できません
0290,垂水,○,○,舞子高校,神戸市垂水区学が丘3-2,078-783-5151,34.6559647,135.0551067,655-0004,,,,
0291,西,○,○,太山寺小学校,神戸市西区伊川谷町前開860,078-974-0007,34.6962522,135.0553447,651-2108,,,,
0292,西,○,○,伊川谷小学校,神戸市西区北別府3-3-1,078-974-0006,34.6719400,135.0123878,651-2117,,×,,《洪水時》南別府1～5丁目からの避難については、河川が氾らんしたら、有瀬小学校へ避難すること
0293,西,○,○,長坂小学校,神戸市西区伊川谷町長坂910-1,078-974-2333,34.6690519,135.0375386,651-2104,,,,
0294,西,○,○,長坂中学校,神戸市西区伊川谷町長坂841-1,078-974-3830,34.6707128,135.0374164,651-2104,,,,
0295,西,○,○,伊川谷高校,神戸市西区伊川谷町長坂910-5,078-974-5630,34.6709433,135.0356914,651-2104,,,,
0296,西,○,○,有瀬小学校,神戸市西区伊川谷町有瀬1137-1,078-974-2709,34.6641328,135.0186403,651-2113,,,,
0297,西,○,○,伊川谷中学校,神戸市西区伊川谷町上脇1005-2,078-974-0005,34.6779617,135.0193008,651-2106,×,,,《土砂災害時》土砂災害警戒区域外（伊川谷小学校）へ避難すること
0298,西,○,○,小寺小学校,神戸市西区学園西町5-5,078-791-2950,34.6837347,135.0545452,651-2103,,,,
0299,西,○,○,東町小学校,神戸市西区学園東町5-5,078-794-4000,34.6844064,135.0648386,651-2102,,,,
0300,西,○,○,太山寺中学校,神戸市西区学園東町2-2,078-791-7090,34.6846672,135.0605806,651-2102,,,,
0301,西,○,○,神戸市外国語大学,神戸市西区学園東町9-1,078-794-8121,34.6798088,135.0604031,651-2102,,,,
0302,西,○,○,工業高等専門学校,神戸市西区学園東町8-3,078-795-3311,34.6793236,135.0675356,651-2102,×,,,《土砂災害時》土砂災害警戒区域外（東町小学校）へ避難すること
0303,西,○,○,井吹東小学校,神戸市西区井吹台東町5-32,078-997-0820,34.7040231,135.0380156,651-2242,,,,
0304,西,○,○,井吹台中学校,神戸市西区井吹台西町2-3,078-997-0850,34.6968239,135.0303164,651-2243,,,,
0305,西,○,○,井吹西小学校,神戸市西区井吹台西町4-3,078-997-0114,34.6934683,135.0228586,651-2243,,,,
0306,西,○,○,井吹の丘小学校,神戸市西区井吹台北町2-18,078-990-5533,34.705529 ,135.030916　,651-2244,,,,
0307,西,○,○,春日台小学校,神戸市西区春日台4-1,078-961-0251,34.7088081,134.9957164,651-2276,,,,
0308,西,○,○,平野中学校,神戸市西区春日台2-20,078-961-0058,34.7096692,134.9982078,651-2276,,,,
0309,西,○,○,西体育館,神戸市西区春日台5-436,078-961-1381,34.7029142,134.9890086,651-2276,,,,
0310,西,○,○,美賀多台小学校,神戸市西区美賀多台6-1,078-991-7659,34.7199569,135.0056153,651-2277,,,,
0311,西,○,○,平野小学校,神戸市西区平野町宮前301,078-961-0011,34.7062146,134.9820253,651-2265,,,,
0312,西,○,○,神戸第一高校西キャンパス,神戸市西区平野町慶明183,078-242-4811,34.6933267,134.9840430,651-2255,,,,
0313,西,○,○,櫨谷小学校,神戸市西区櫨谷町池谷203-2,078-991-0004,34.7100417,135.0256053,651-2234,,,,
0314,西,○,○,糀台小学校,神戸市西区糀台3-32-1,078-991-1635,34.7197461,135.0234694,651-2273,,,,
0315,西,○,○,櫨谷中学校,神戸市西区糀台1-2,078-991-0026,34.7179436,135.0286272,651-2273,,,,
0316,西,○,○,狩場台小学校,神戸市西区狩場台3-6-1,078-991-3415,34.72279041,135.03239362,651-2272,,,,
0317,西,○,○,竹の台小学校,神戸市西区竹の台2-10-2,078-991-4471,34.7126633,135.0127814,651-2274,,,,
0318,西,○,○,西神中学校,神戸市西区竹の台5-21,078-992-2700,34.7142075,135.0096733,651-2274,,,,
0319,西,○,○,樫野台小学校,神戸市西区樫野台3-3-1,078-992-2500,34.7065139,135.0016297,651-2275,,,,
0320,西,○,○,木津小学校,神戸市西区桜が丘東町5-149-31,078-994-0003,34.7432542,135.0654018,651-2225,,,,
0321,西,○,○,桜が丘小学校,神戸市西区桜が丘中町3-3-2,078-994-8010,34.7451914,135.0583913,651-2226,,,,
0322,西,○,○,桜が丘中学校,神戸市西区桜が丘東町2-11-1,078-994-8822,34.7487378,135.0608211,651-2225,,,,
0323,西,○,○,押部谷小学校,神戸市西区押部谷町福住552-3,078-994-0002,34.7556728,135.0376092,651-2213,,,,
0324,西,○,○,北山小学校,神戸市西区北山台3-26-1,078-994-8020,34.7627022,135.0313931,651-2215,,,,
0325,西,○,○,押部谷中学校,神戸市西区押部谷町押部722,078-994-0013,34.7573756,135.0443642,651-2212,,,,
0326,西,○,○,月が丘小学校,神戸市西区月が丘7-2,078-995-3171,34.7595488,135.0491254,651-2217,,,,
0327,西,○,○,高和小学校,神戸市西区押部谷町高和565,078-994-0004,34.7411234,135.0128176,651-2204,,,,
0328,西,○,○,玉津第一小学校,神戸市西区小山1-4-1,078-928-3790,34.6847800,134.9877978,651-2121,,×,,《洪水時》河川が氾らんしたら、玉津中学校、神戸第一高等学校西キャンパスへ避難すること
0329,西,○,○,出合小学校,神戸市西区中野1-22-1,078-928-5516,34.6774028,134.9726714,651-2136,,,,
0330,西,○,○,王塚台中学校,神戸市西区王塚台4-58,078-928-1277,34.67410326,134.97354378,651-2135,,,,
0331,西,○,○,枝吉小学校,神戸市西区技吉2-95,078-928-0880,34.6647678,134.9778628,651-2133,,,,
0332,西,○,○,高津橋小学校,神戸市西区玉津町高津橋640-1,078-917-6501,34.6702592,134.9949753,651-2122,,,,
0333,西,○,○,玉津南公民館,神戸市西区玉津町上池314,078-914-4300,34.66024924,134.99081753,651-2126,,×,,《洪水時》河川が氾らんしたら、高津橋小学校、明石市立錦城中学校へ避難すること
0334,西,○,○,玉津中学校,神戸市西区玉津町今津364,078-918-2266,34.6783472,134.9924864,651-2128,,,,
0335,西,○,○,神出小学校,神戸市西区神出町田井444,078-965-0006,34.7473706,134.9877333,651-2313,,,,
0336,西,○,○,神出中学校,神戸市西区神出町東1167,078-965-0025,34.7548142,134.9964433,651-2311,△,,,《土砂災害時》山腹崩壊に注意すること
0337,西,○,○,岩岡小学校,神戸市西区岩岡町古郷267,078-967-0013,34.7182292,134.9442931,651-2404,,,,
0338,西,○,○,岩岡中学校,神戸市西区岩岡町古郷249-1,078-967-0016,34.7162822,134.9433792,651-2404,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
